Transaction ID,Date,Month,Customer ID,Gender,Age,Age group,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,November,CUST001,Male,34,26–35,Beauty,3,50,150
2,2023-02-27,February,CUST002,Female,26,26–35,Clothing,2,500,1000
3,2023-01-13,January,CUST003,Male,50,46–55,Electronics,1,30,30
4,2023-05-21,May,CUST004,Male,37,36–45,Clothing,1,500,500
5,2023-05-06,May,CUST005,Male,30,26–35,Beauty,2,50,100
6,2023-04-25,April,CUST006,Female,45,36–45,Beauty,1,30,30
7,2023-03-13,March,CUST007,Male,46,46–55,Clothing,2,25,50
8,2023-02-22,February,CUST008,Male,30,26–35,Electronics,4,25,100
9,2023-12-13,December,CUST009,Male,63,56+,Electronics,2,300,600
10,2023-10-07,October,CUST010,Female,52,46–55,Clothing,4,50,200
11,2023-02-14,February,CUST011,Male,23,18–25,Clothing,2,50,100
12,2023-10-30,October,CUST012,Male,35,26–35,Beauty,3,25,75
13,2023-08-05,August,CUST013,Male,22,18–25,Electronics,3,500,1500
14,2023-01-17,January,CUST014,Male,64,56+,Clothing,4,30,120
15,2023-01-16,January,CUST015,Female,42,36–45,Electronics,4,500,2000
16,2023-02-17,February,CUST016,Male,19,18–25,Clothing,3,500,1500
17,2023-04-22,April,CUST017,Female,27,26–35,Clothing,4,25,100
18,2023-04-30,April,CUST018,Female,47,46–55,Electronics,2,25,50
19,2023-09-16,September,CUST019,Female,62,56+,Clothing,2,25,50
20,2023-11-05,November,CUST020,Male,22,18–25,Clothing,3,300,900
21,2023-01-14,January,CUST021,Female,50,46–55,Beauty,1,500,500
22,2023-10-15,October,CUST022,Male,18,18–25,Clothing,2,50,100
23,2023-04-12,April,CUST023,Female,35,26–35,Clothing,4,30,120
24,2023-11-29,November,CUST024,Female,49,46–55,Clothing,1,300,300
25,2023-12-26,December,CUST025,Female,64,56+,Beauty,1,50,50
26,2023-10-07,October,CUST026,Female,28,26–35,Electronics,2,500,1000
27,2023-08-03,August,CUST027,Female,38,36–45,Beauty,2,25,50
28,2023-04-23,April,CUST028,Female,43,36–45,Beauty,1,500,500
29,2023-08-18,August,CUST029,Female,42,36–45,Electronics,1,30,30
30,2023-10-29,October,CUST030,Female,39,36–45,Beauty,3,300,900
31,2023-05-23,May,CUST031,Male,44,36–45,Electronics,4,300,1200
32,2023-01-04,January,CUST032,Male,30,26–35,Beauty,3,30,90
33,2023-03-23,March,CUST033,Female,50,46–55,Electronics,2,50,100
34,2023-12-24,December,CUST034,Female,51,46–55,Clothing,3,50,150
35,2023-08-05,August,CUST035,Female,58,56+,Beauty,3,300,900
36,2023-06-24,June,CUST036,Male,52,46–55,Beauty,3,300,900
37,2023-05-23,May,CUST037,Female,18,18–25,Beauty,3,25,75
38,2023-03-21,March,CUST038,Male,38,36–45,Beauty,4,50,200
39,2023-04-21,April,CUST039,Male,23,18–25,Clothing,4,30,120
40,2023-06-22,June,CUST040,Male,45,36–45,Beauty,1,50,50
41,2023-02-22,February,CUST041,Male,34,26–35,Clothing,2,25,50
42,2023-02-17,February,CUST042,Male,22,18–25,Clothing,3,300,900
43,2023-07-14,July,CUST043,Female,48,46–55,Clothing,1,300,300
44,2023-02-19,February,CUST044,Female,22,18–25,Clothing,1,25,25
45,2023-07-03,July,CUST045,Female,55,46–55,Electronics,1,30,30
46,2023-06-26,June,CUST046,Female,20,18–25,Electronics,4,300,1200
47,2023-11-06,November,CUST047,Female,40,36–45,Beauty,3,500,1500
48,2023-05-16,May,CUST048,Male,54,46–55,Electronics,3,300,900
49,2023-01-23,January,CUST049,Female,54,46–55,Electronics,2,500,1000
50,2023-08-24,August,CUST050,Female,27,26–35,Beauty,3,25,75
51,2023-10-02,October,CUST051,Male,27,26–35,Beauty,3,25,75
52,2023-03-05,March,CUST052,Female,36,36–45,Beauty,1,300,300
53,2023-07-13,July,CUST053,Male,34,26–35,Electronics,2,50,100
54,2023-02-10,February,CUST054,Female,38,36–45,Electronics,3,500,1500
55,2023-10-10,October,CUST055,Male,31,26–35,Beauty,4,30,120
56,2023-05-31,May,CUST056,Female,26,26–35,Clothing,3,300,900
57,2023-11-18,November,CUST057,Female,63,56+,Beauty,1,30,30
58,2023-11-13,November,CUST058,Male,18,18–25,Clothing,4,300,1200
59,2023-07-05,July,CUST059,Male,62,56+,Clothing,1,50,50
60,2023-10-23,October,CUST060,Male,30,26–35,Beauty,3,50,150
61,2023-04-09,April,CUST061,Male,21,18–25,Beauty,4,50,200
62,2023-12-27,December,CUST062,Male,18,18–25,Beauty,2,50,100
63,2023-02-05,February,CUST063,Male,57,56+,Electronics,2,25,50
64,2023-01-24,January,CUST064,Male,49,46–55,Clothing,4,25,100
65,2023-12-05,December,CUST065,Male,51,46–55,Electronics,4,500,2000
66,2023-04-27,April,CUST066,Female,45,36–45,Electronics,1,30,30
67,2023-05-29,May,CUST067,Female,48,46–55,Beauty,4,300,1200
68,2023-02-10,February,CUST068,Male,25,18–25,Electronics,1,300,300
69,2023-04-30,April,CUST069,Female,56,56+,Beauty,3,25,75
70,2023-02-21,February,CUST070,Female,43,36–45,Clothing,1,300,300
71,2023-07-14,July,CUST071,Female,51,46–55,Beauty,4,25,100
72,2023-05-23,May,CUST072,Female,20,18–25,Electronics,4,500,2000
73,2023-08-21,August,CUST073,Male,29,26–35,Electronics,3,30,90
74,2023-11-22,November,CUST074,Female,18,18–25,Beauty,4,500,2000
75,2023-07-06,July,CUST075,Male,61,56+,Beauty,4,50,200
76,2023-03-25,March,CUST076,Female,22,18–25,Electronics,2,50,100
77,2023-07-09,July,CUST077,Female,47,46–55,Clothing,2,50,100
78,2023-07-01,July,CUST078,Female,47,46–55,Clothing,3,500,1500
79,2023-04-18,April,CUST079,Male,34,26–35,Beauty,1,300,300
80,2023-12-10,December,CUST080,Female,64,56+,Clothing,2,30,60
81,2023-05-17,May,CUST081,Male,40,36–45,Electronics,1,50,50
82,2023-12-26,December,CUST082,Female,32,26–35,Beauty,4,50,200
83,2023-12-16,December,CUST083,Male,54,46–55,Electronics,2,50,100
84,2023-11-28,November,CUST084,Female,38,36–45,Electronics,3,30,90
85,2023-02-06,February,CUST085,Male,31,26–35,Clothing,3,50,150
86,2023-11-08,November,CUST086,Male,19,18–25,Beauty,3,30,90
87,2023-11-22,November,CUST087,Female,28,26–35,Beauty,2,50,100
88,2023-03-29,March,CUST088,Male,56,56+,Clothing,1,500,500
89,2023-10-01,October,CUST089,Female,55,46–55,Electronics,4,500,2000
90,2023-05-06,May,CUST090,Female,51,46–55,Electronics,1,30,30
91,2023-03-25,March,CUST091,Female,55,46–55,Electronics,1,500,500
92,2023-08-25,August,CUST092,Female,51,46–55,Electronics,4,30,120
93,2023-07-14,July,CUST093,Female,35,26–35,Beauty,4,500,2000
94,2023-05-19,May,CUST094,Female,47,46–55,Beauty,2,500,1000
95,2023-11-24,November,CUST095,Female,32,26–35,Clothing,2,30,60
96,2023-12-19,December,CUST096,Female,44,36–45,Clothing,2,300,600
97,2023-10-13,October,CUST097,Female,51,46–55,Beauty,2,500,1000
98,2023-04-23,April,CUST098,Female,55,46–55,Beauty,2,50,100
99,2023-12-17,December,CUST099,Female,50,46–55,Electronics,4,300,1200
100,2023-06-16,June,CUST100,Male,41,36–45,Electronics,1,30,30
101,2023-01-29,January,CUST101,Male,32,26–35,Clothing,2,300,600
102,2023-04-28,April,CUST102,Female,47,46–55,Beauty,2,25,50
103,2023-01-17,January,CUST103,Female,59,56+,Clothing,1,25,25
104,2023-06-11,June,CUST104,Female,34,26–35,Beauty,2,500,1000
105,2023-07-25,July,CUST105,Female,22,18–25,Electronics,1,500,500
106,2023-05-18,May,CUST106,Female,46,46–55,Clothing,1,50,50
107,2023-02-03,February,CUST107,Female,21,18–25,Clothing,4,300,1200
108,2023-04-19,April,CUST108,Female,27,26–35,Beauty,3,25,75
109,2023-10-18,October,CUST109,Female,34,26–35,Electronics,4,500,2000
110,2023-06-11,June,CUST110,Male,27,26–35,Clothing,3,300,900
111,2023-04-19,April,CUST111,Female,34,26–35,Electronics,3,500,1500
112,2023-12-02,December,CUST112,Male,37,36–45,Clothing,3,500,1500
113,2023-09-13,September,CUST113,Female,41,36–45,Electronics,2,25,50
114,2023-07-22,July,CUST114,Female,22,18–25,Beauty,4,25,100
115,2023-11-26,November,CUST115,Male,51,46–55,Clothing,3,500,1500
116,2023-08-23,August,CUST116,Female,23,18–25,Clothing,1,30,30
117,2023-03-15,March,CUST117,Male,19,18–25,Electronics,2,500,1000
118,2023-05-16,May,CUST118,Female,30,26–35,Electronics,4,500,2000
119,2023-03-13,March,CUST119,Female,60,56+,Clothing,3,50,150
120,2023-05-07,May,CUST120,Male,60,56+,Beauty,1,50,50
121,2023-10-15,October,CUST121,Female,28,26–35,Electronics,4,50,200
122,2023-10-03,October,CUST122,Male,64,56+,Electronics,4,30,120
123,2023-05-15,May,CUST123,Female,40,36–45,Electronics,2,30,60
124,2023-10-27,October,CUST124,Male,33,26–35,Clothing,4,500,2000
125,2023-08-08,August,CUST125,Male,48,46–55,Clothing,2,50,100
126,2023-10-26,October,CUST126,Female,28,26–35,Clothing,3,30,90
127,2023-07-24,July,CUST127,Female,33,26–35,Clothing,2,25,50
128,2023-07-05,July,CUST128,Male,25,18–25,Beauty,1,500,500
129,2023-04-23,April,CUST129,Female,21,18–25,Beauty,2,300,600
130,2023-03-12,March,CUST130,Female,57,56+,Clothing,1,500,500
131,2023-09-18,September,CUST131,Female,21,18–25,Beauty,2,300,600
132,2023-09-10,September,CUST132,Male,42,36–45,Electronics,4,50,200
133,2023-02-16,February,CUST133,Male,20,18–25,Electronics,3,300,900
134,2023-01-25,January,CUST134,Male,49,46–55,Electronics,1,50,50
135,2023-02-26,February,CUST135,Male,20,18–25,Clothing,2,25,50
136,2023-03-20,March,CUST136,Male,44,36–45,Electronics,2,300,600
137,2023-11-18,November,CUST137,Male,46,46–55,Beauty,2,500,1000
138,2023-03-23,March,CUST138,Male,49,46–55,Clothing,4,50,200
139,2023-12-15,December,CUST139,Male,36,36–45,Beauty,4,500,2000
140,2023-08-05,August,CUST140,Male,38,36–45,Electronics,1,30,30
141,2023-11-02,November,CUST141,Female,22,18–25,Electronics,1,50,50
142,2023-02-02,February,CUST142,Male,35,26–35,Electronics,4,300,1200
143,2023-07-17,July,CUST143,Female,45,36–45,Clothing,1,50,50
144,2023-07-15,July,CUST144,Female,59,56+,Beauty,3,500,1500
145,2023-11-02,November,CUST145,Female,39,36–45,Clothing,3,25,75
146,2023-08-28,August,CUST146,Male,38,36–45,Clothing,4,50,200
147,2023-09-28,September,CUST147,Male,23,18–25,Electronics,1,300,300
148,2023-05-09,May,CUST148,Male,18,18–25,Clothing,2,30,60
149,2023-10-11,October,CUST149,Male,22,18–25,Clothing,3,25,75
150,2023-01-06,January,CUST150,Female,58,56+,Electronics,4,30,120
151,2023-12-15,December,CUST151,Male,29,26–35,Clothing,1,50,50
152,2023-02-28,February,CUST152,Male,43,36–45,Electronics,4,500,2000
153,2023-12-16,December,CUST153,Male,63,56+,Electronics,2,500,1000
154,2023-10-02,October,CUST154,Male,51,46–55,Electronics,3,300,900
155,2023-05-17,May,CUST155,Male,31,26–35,Electronics,4,500,2000
156,2023-11-25,November,CUST156,Female,43,36–45,Clothing,4,25,100
157,2023-06-24,June,CUST157,Male,62,56+,Electronics,4,500,2000
158,2023-02-27,February,CUST158,Female,44,36–45,Electronics,2,300,600
159,2023-05-31,May,CUST159,Male,26,26–35,Clothing,4,50,200
160,2023-08-11,August,CUST160,Female,43,36–45,Clothing,2,50,100
161,2023-03-22,March,CUST161,Male,64,56+,Beauty,2,500,1000
162,2023-08-21,August,CUST162,Male,39,36–45,Clothing,2,30,60
163,2023-01-02,January,CUST163,Female,64,56+,Clothing,3,50,150
164,2023-05-15,May,CUST164,Female,47,46–55,Beauty,3,500,1500
165,2023-09-14,September,CUST165,Female,60,56+,Clothing,4,300,1200
166,2023-04-02,April,CUST166,Male,34,26–35,Clothing,4,500,2000
167,2023-09-17,September,CUST167,Female,43,36–45,Clothing,3,50,150
168,2023-02-24,February,CUST168,Male,53,46–55,Clothing,1,300,300
169,2023-11-17,November,CUST169,Male,18,18–25,Beauty,3,500,1500
170,2023-06-02,June,CUST170,Female,25,18–25,Clothing,2,25,50
171,2023-11-24,November,CUST171,Female,52,46–55,Clothing,3,300,900
172,2023-09-17,September,CUST172,Male,32,26–35,Beauty,2,25,50
173,2023-11-08,November,CUST173,Male,64,56+,Electronics,4,30,120
174,2023-04-12,April,CUST174,Female,39,36–45,Beauty,1,300,300
175,2023-03-20,March,CUST175,Female,31,26–35,Electronics,4,25,100
176,2023-07-11,July,CUST176,Female,43,36–45,Beauty,2,50,100
177,2023-03-24,March,CUST177,Male,45,36–45,Beauty,2,50,100
178,2023-10-04,October,CUST178,Male,40,36–45,Clothing,2,30,60
179,2023-09-29,September,CUST179,Male,31,26–35,Electronics,1,300,300
180,2023-01-01,January,CUST180,Male,41,36–45,Clothing,3,300,900
181,2023-11-03,November,CUST181,Male,19,18–25,Electronics,4,300,1200
182,2023-06-15,June,CUST182,Male,62,56+,Beauty,4,30,120
183,2023-09-08,September,CUST183,Female,43,36–45,Beauty,3,300,900
184,2023-01-10,January,CUST184,Male,31,26–35,Electronics,4,50,200
185,2023-02-27,February,CUST185,Male,24,18–25,Clothing,1,25,25
186,2023-07-05,July,CUST186,Male,20,18–25,Clothing,4,50,200
187,2023-06-07,June,CUST187,Female,64,56+,Clothing,2,50,100
188,2023-05-03,May,CUST188,Male,40,36–45,Clothing,3,25,75
189,2023-01-30,January,CUST189,Male,63,56+,Beauty,1,50,50
190,2023-05-04,May,CUST190,Female,60,56+,Beauty,3,30,90
191,2023-10-18,October,CUST191,Male,64,56+,Beauty,1,25,25
192,2023-02-10,February,CUST192,Male,62,56+,Beauty,2,50,100
193,2023-02-13,February,CUST193,Male,35,26–35,Beauty,3,500,1500
194,2023-09-06,September,CUST194,Male,55,46–55,Clothing,4,50,200
195,2023-02-05,February,CUST195,Male,52,46–55,Clothing,1,30,30
196,2023-09-30,September,CUST196,Female,32,26–35,Clothing,3,300,900
197,2023-03-06,March,CUST197,Female,42,36–45,Clothing,4,50,200
198,2023-03-07,March,CUST198,Female,54,46–55,Beauty,3,300,900
199,2023-12-04,December,CUST199,Male,45,36–45,Beauty,3,500,1500
200,2023-09-01,September,CUST200,Male,27,26–35,Beauty,3,50,150
201,2023-10-09,October,CUST201,Male,56,56+,Electronics,1,25,25
202,2023-03-26,March,CUST202,Female,34,26–35,Clothing,4,300,1200
203,2023-05-16,May,CUST203,Male,56,56+,Clothing,2,500,1000
204,2023-09-28,September,CUST204,Male,39,36–45,Beauty,1,25,25
205,2023-11-07,November,CUST205,Female,43,36–45,Clothing,1,25,25
206,2023-08-05,August,CUST206,Male,61,56+,Clothing,1,25,25
207,2023-04-19,April,CUST207,Female,42,36–45,Beauty,2,25,50
208,2023-10-04,October,CUST208,Female,34,26–35,Electronics,4,50,200
209,2023-12-20,December,CUST209,Female,30,26–35,Electronics,4,50,200
210,2023-04-13,April,CUST210,Male,37,36–45,Electronics,4,50,200
211,2024-01-01,January,CUST211,Male,42,36–45,Beauty,3,500,1500
212,2023-06-09,June,CUST212,Male,21,18–25,Clothing,3,500,1500
213,2023-07-24,July,CUST213,Male,27,26–35,Beauty,3,500,1500
214,2023-12-10,December,CUST214,Male,20,18–25,Beauty,2,30,60
215,2023-11-29,November,CUST215,Male,58,56+,Clothing,3,500,1500
216,2023-07-11,July,CUST216,Male,62,56+,Electronics,2,50,100
217,2023-08-13,August,CUST217,Female,35,26–35,Electronics,4,50,200
218,2023-09-22,September,CUST218,Male,64,56+,Beauty,3,30,90
219,2023-08-20,August,CUST219,Female,53,46–55,Electronics,3,30,90
220,2023-03-03,March,CUST220,Male,64,56+,Beauty,1,500,500
221,2023-05-07,May,CUST221,Male,39,36–45,Beauty,2,300,600
222,2023-04-26,April,CUST222,Male,51,46–55,Clothing,4,30,120
223,2023-02-02,February,CUST223,Female,64,56+,Clothing,1,25,25
224,2023-06-23,June,CUST224,Female,25,18–25,Clothing,1,50,50
225,2023-01-11,January,CUST225,Female,57,56+,Beauty,4,25,100
226,2023-10-29,October,CUST226,Female,61,56+,Clothing,1,50,50
227,2023-10-11,October,CUST227,Male,36,36–45,Electronics,2,50,100
228,2023-04-28,April,CUST228,Female,59,56+,Electronics,2,30,60
229,2023-10-29,October,CUST229,Male,58,56+,Beauty,3,30,90
230,2023-04-23,April,CUST230,Male,54,46–55,Beauty,1,25,25
231,2023-01-04,January,CUST231,Female,23,18–25,Clothing,3,50,150
232,2023-02-06,February,CUST232,Female,43,36–45,Beauty,1,25,25
233,2023-12-29,December,CUST233,Female,51,46–55,Beauty,2,300,600
234,2023-11-20,November,CUST234,Female,62,56+,Electronics,2,25,50
235,2023-01-31,January,CUST235,Female,23,18–25,Electronics,2,500,1000
236,2023-04-28,April,CUST236,Female,54,46–55,Clothing,1,25,25
237,2023-02-04,February,CUST237,Female,50,46–55,Beauty,2,500,1000
238,2023-01-17,January,CUST238,Female,39,36–45,Beauty,1,500,500
239,2023-06-19,June,CUST239,Male,38,36–45,Electronics,3,500,1500
240,2023-02-06,February,CUST240,Female,23,18–25,Beauty,1,300,300
241,2023-09-21,September,CUST241,Female,23,18–25,Electronics,3,25,75
242,2023-05-02,May,CUST242,Male,21,18–25,Clothing,1,25,25
243,2023-05-23,May,CUST243,Female,47,46–55,Electronics,3,300,900
244,2023-12-09,December,CUST244,Male,28,26–35,Beauty,2,50,100
245,2023-09-06,September,CUST245,Male,47,46–55,Clothing,3,30,90
246,2023-04-20,April,CUST246,Female,48,46–55,Electronics,2,25,50
247,2023-10-04,October,CUST247,Male,41,36–45,Electronics,2,30,60
248,2023-03-09,March,CUST248,Male,26,26–35,Clothing,3,300,900
249,2023-10-20,October,CUST249,Male,20,18–25,Clothing,1,50,50
250,2023-10-23,October,CUST250,Male,48,46–55,Electronics,1,50,50
251,2023-08-31,August,CUST251,Female,57,56+,Beauty,4,50,200
252,2023-05-05,May,CUST252,Male,54,46–55,Electronics,1,300,300
253,2023-08-31,August,CUST253,Female,53,46–55,Clothing,4,500,2000
254,2023-07-28,July,CUST254,Male,41,36–45,Electronics,1,500,500
255,2023-04-08,April,CUST255,Male,48,46–55,Clothing,1,30,30
256,2023-02-18,February,CUST256,Male,23,18–25,Clothing,2,500,1000
257,2023-02-19,February,CUST257,Male,19,18–25,Beauty,4,500,2000
258,2023-12-04,December,CUST258,Female,37,36–45,Clothing,1,50,50
259,2023-08-09,August,CUST259,Female,45,36–45,Clothing,4,50,200
260,2023-07-01,July,CUST260,Male,28,26–35,Beauty,2,30,60
261,2023-08-05,August,CUST261,Male,21,18–25,Clothing,2,25,50
262,2023-07-30,July,CUST262,Female,32,26–35,Beauty,4,30,120
263,2023-08-28,August,CUST263,Male,23,18–25,Beauty,2,30,60
264,2023-01-28,January,CUST264,Male,47,46–55,Clothing,3,300,900
265,2023-12-11,December,CUST265,Male,55,46–55,Clothing,3,300,900
266,2023-12-01,December,CUST266,Female,19,18–25,Electronics,2,30,60
267,2023-11-27,November,CUST267,Female,32,26–35,Beauty,3,30,90
268,2023-02-20,February,CUST268,Female,28,26–35,Electronics,1,30,30
269,2023-02-01,February,CUST269,Male,25,18–25,Clothing,4,500,2000
270,2023-07-26,July,CUST270,Male,43,36–45,Electronics,1,300,300
271,2023-06-23,June,CUST271,Female,62,56+,Beauty,4,30,120
272,2023-02-25,February,CUST272,Female,61,56+,Electronics,2,50,100
273,2023-05-08,May,CUST273,Female,22,18–25,Beauty,1,50,50
274,2023-04-09,April,CUST274,Female,23,18–25,Clothing,2,500,1000
275,2023-04-08,April,CUST275,Male,43,36–45,Clothing,2,500,1000
276,2023-10-02,October,CUST276,Female,21,18–25,Beauty,4,25,100
277,2023-08-18,August,CUST277,Male,36,36–45,Clothing,4,25,100
278,2023-03-13,March,CUST278,Female,37,36–45,Clothing,4,25,100
279,2023-08-05,August,CUST279,Male,50,46–55,Clothing,1,500,500
280,2023-04-04,April,CUST280,Female,37,36–45,Clothing,3,500,1500
281,2023-05-23,May,CUST281,Female,29,26–35,Beauty,4,500,2000
282,2023-08-25,August,CUST282,Female,64,56+,Electronics,4,50,200
283,2023-05-08,May,CUST283,Female,18,18–25,Electronics,1,500,500
284,2023-02-08,February,CUST284,Male,43,36–45,Clothing,4,50,200
285,2023-08-15,August,CUST285,Female,31,26–35,Electronics,1,25,25
286,2023-10-09,October,CUST286,Male,55,46–55,Electronics,2,25,50
287,2023-02-20,February,CUST287,Male,54,46–55,Clothing,4,25,100
288,2023-01-26,January,CUST288,Male,28,26–35,Clothing,4,30,120
289,2023-11-30,November,CUST289,Male,53,46–55,Electronics,2,30,60
290,2023-10-04,October,CUST290,Female,30,26–35,Beauty,2,300,600
291,2023-01-08,January,CUST291,Male,60,56+,Clothing,2,300,600
292,2023-02-17,February,CUST292,Male,20,18–25,Beauty,4,300,1200
293,2023-05-02,May,CUST293,Male,50,46–55,Electronics,3,30,90
294,2023-03-27,March,CUST294,Female,23,18–25,Clothing,3,30,90
295,2023-07-28,July,CUST295,Female,27,26–35,Beauty,3,300,900
296,2023-09-06,September,CUST296,Female,22,18–25,Clothing,4,300,1200
297,2023-09-04,September,CUST297,Female,40,36–45,Electronics,2,500,1000
298,2023-04-20,April,CUST298,Male,27,26–35,Beauty,4,300,1200
299,2023-07-25,July,CUST299,Male,61,56+,Electronics,2,500,1000
300,2023-01-31,January,CUST300,Female,19,18–25,Electronics,4,50,200
301,2023-03-26,March,CUST301,Male,30,26–35,Clothing,4,30,120
302,2023-07-14,July,CUST302,Male,57,56+,Beauty,2,300,600
303,2023-01-02,January,CUST303,Male,19,18–25,Electronics,3,30,90
304,2023-07-19,July,CUST304,Female,37,36–45,Electronics,2,30,60
305,2023-05-16,May,CUST305,Female,18,18–25,Beauty,1,30,30
306,2023-08-21,August,CUST306,Male,54,46–55,Electronics,1,50,50
307,2023-05-27,May,CUST307,Female,26,26–35,Electronics,2,25,50
308,2023-08-05,August,CUST308,Female,34,26–35,Beauty,4,300,1200
309,2023-12-23,December,CUST309,Female,26,26–35,Beauty,1,25,25
310,2023-10-12,October,CUST310,Female,28,26–35,Beauty,1,25,25
311,2023-12-05,December,CUST311,Female,32,26–35,Beauty,4,25,100
312,2023-09-07,September,CUST312,Male,41,36–45,Clothing,4,30,120
313,2023-03-21,March,CUST313,Female,55,46–55,Beauty,3,500,1500
314,2023-04-08,April,CUST314,Male,52,46–55,Clothing,4,30,120
315,2023-06-01,June,CUST315,Male,47,46–55,Clothing,2,30,60
316,2023-04-22,April,CUST316,Female,48,46–55,Clothing,2,25,50
317,2023-01-30,January,CUST317,Male,22,18–25,Electronics,3,30,90
318,2023-10-24,October,CUST318,Male,61,56+,Clothing,1,25,25
319,2023-10-05,October,CUST319,Male,31,26–35,Clothing,1,500,500
320,2023-02-01,February,CUST320,Female,28,26–35,Electronics,4,300,1200
321,2023-06-10,June,CUST321,Female,26,26–35,Electronics,2,25,50
322,2023-01-30,January,CUST322,Male,51,46–55,Electronics,1,500,500
323,2023-01-26,January,CUST323,Female,29,26–35,Beauty,3,300,900
324,2023-10-27,October,CUST324,Female,52,46–55,Electronics,3,50,150
325,2023-09-02,September,CUST325,Female,52,46–55,Electronics,2,25,50
326,2023-09-15,September,CUST326,Female,18,18–25,Clothing,3,25,75
327,2023-09-29,September,CUST327,Male,57,56+,Electronics,3,50,150
328,2023-03-22,March,CUST328,Male,39,36–45,Beauty,2,50,100
329,2023-01-30,January,CUST329,Female,46,46–55,Electronics,4,25,100
330,2023-09-18,September,CUST330,Female,25,18–25,Beauty,4,50,200
331,2023-02-11,February,CUST331,Male,28,26–35,Electronics,3,30,90
332,2023-04-06,April,CUST332,Male,58,56+,Electronics,4,300,1200
